,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Patrick Patterson,673.0,99.0,21.1,2.6,5.9,44.8,0.9,2.3,36.9,0.6,0.8,75.2,1.2,2.8,4.0,1.0,0.4,0.5,1.6,0.6,6.7
Paul George,646.0,598.0,33.5,6.7,15.6,43.3,2.4,6.4,38.0,4.0,4.8,84.6,0.9,5.5,6.4,3.3,0.4,1.7,2.7,2.6,19.9
Reggie Jackson,553.0,343.0,25.2,4.8,11.2,42.8,1.2,3.5,33.6,2.1,2.5,85.7,0.5,2.4,3.0,4.4,0.1,0.7,1.9,1.9,12.9
Rodney McGruder,212.0,115.0,21.5,2.2,5.4,41.1,0.9,2.6,33.8,0.5,0.8,64.2,0.9,2.2,3.1,1.3,0.2,0.5,1.6,0.7,5.9
Terance Mann,35.0,6.0,7.7,0.6,1.5,40.7,0.1,0.3,25.0,0.3,0.3,75.0,0.1,0.8,0.9,1.1,0.1,0.2,1.0,0.4,1.6
Alex Caruso,120.0,12.0,17.7,2.0,4.6,43.2,0.6,1.7,37.5,1.1,1.4,76.5,0.4,1.6,2.0,2.1,0.3,0.9,1.6,1.1,5.7
Anthony Davis,521.0,516.0,34.5,8.9,17.3,51.7,0.5,1.5,31.9,5.7,7.1,80.1,2.6,7.9,10.4,2.2,2.4,1.4,2.4,1.9,24.0
Avery Bradley,571.0,493.0,28.3,4.7,10.8,43.6,1.3,3.6,36.4,1.0,1.3,78.0,0.6,2.3,2.9,1.8,0.2,1.0,2.2,1.4,11.8
Danny Green,681.0,605.0,25.4,3.2,7.5,42.4,1.9,4.7,40.2,0.7,0.9,81.0,0.6,2.9,3.5,1.6,0.8,1.0,1.8,1.0,8.9
Dion Waiters,412.0,211.0,28.3,5.0,12.2,41.2,1.4,4.0,34.8,1.7,2.5,69.2,0.4,2.3,2.7,2.8,0.3,0.9,1.9,1.8,13.2
Dwight Howard,1106.0,1045.0,33.6,6.1,10.4,58.6,0.0,0.1,13.2,4.6,8.2,56.5,3.5,8.9,12.3,1.4,1.9,0.9,3.2,2.8,16.8
JaVale McGee,694.0,310.0,17.3,3.4,5.9,57.5,0.0,0.0,15.2,1.1,1.9,59.2,1.9,3.3,5.1,0.4,1.5,0.4,2.2,1.0,7.9
Jared Dudley,887.0,286.0,22.5,2.7,5.8,46.4,1.0,2.5,39.4,1.1,1.4,73.2,0.9,2.3,3.2,1.6,0.2,0.8,1.8,0.9,7.5
Kostas Antetokounmpo,5.0,0.0,3.2,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.8,50.0,0.0,0.4,0.4,0.2,0.0,0.4,0.0,0.2,0.4
Kyle Kuzma,201.0,112.0,30.1,6.1,13.5,44.9,1.8,5.4,32.7,2.1,2.9,73.3,1.0,4.5,5.5,1.9,0.4,0.6,2.2,1.8,16.0
LeBron James,1258.0,1257.0,38.4,9.9,19.6,50.4,1.5,4.3,34.4,5.9,8.0,73.5,1.2,6.2,7.4,7.4,0.8,1.6,1.8,3.5,27.1
Markieff Morris,631.0,347.0,25.6,4.4,9.9,44.8,0.8,2.4,34.4,1.8,2.3,77.8,1.3,4.1,5.4,1.7,0.6,0.9,2.9,1.6,11.5
Quinn Cook,159.0,28.0,15.1,2.7,5.8,46.8,1.0,2.5,41.2,0.3,0.4,76.9,0.3,1.5,1.8,1.7,0.0,0.3,1.2,0.8,6.8
Rajon Rondo,873.0,729.0,31.0,4.3,9.3,45.8,0.4,1.4,31.6,1.2,2.0,60.6,1.0,3.7,4.7,8.3,0.1,1.7,2.2,2.8,10.2
Aron Baynes,469.0,137.0,15.8,2.4,4.8,49.5,0.2,0.5,32.7,1.0,1.3,80.0,1.5,3.0,4.5,0.8,0.5,0.2,2.2,0.9,6.0
Cameron Johnson,49.0,1.0,20.3,2.8,6.6,41.8,1.9,4.7,39.7,0.7,0.9,76.1,0.8,2.1,2.9,1.1,0.3,0.6,1.5,0.6,8.1
Cheick Diallo,177.0,3.0,12.1,2.2,3.7,59.8,0.0,0.0,33.3,0.8,1.1,77.0,1.0,3.2,4.2,0.4,0.4,0.3,1.5,0.6,5.3
Dario Saric,298.0,200.0,26.5,4.4,10.0,43.7,1.5,4.3,35.6,1.9,2.3,83.5,1.6,4.5,6.2,2.1,0.2,0.6,2.1,1.7,12.2
Deandre Ayton,101.0,95.0,31.5,7.6,13.2,57.2,0.0,0.1,0.0,2.0,2.6,75.3,3.4,7.4,10.8,1.8,1.2,0.8,3.0,2.0,17.1
Devin Booker,334.0,309.0,33.5,7.7,17.1,44.7,2.0,5.5,35.5,5.0,5.8,86.8,0.5,3.1,3.6,4.7,0.3,0.8,3.1,3.3,22.3
Elie Okobo,107.0,19.0,15.6,1.7,4.4,39.5,0.6,1.9,31.5,0.8,1.1,72.8,0.3,1.5,1.7,2.2,0.1,0.5,1.5,1.0,4.9
Frank Kaminsky,314.0,36.0,22.2,3.5,8.3,42.3,1.2,3.4,34.9,1.7,2.2,74.9,0.8,3.3,4.1,1.7,0.4,0.5,1.6,0.9,9.9
Jalen Lecque,4.0,0.0,6.5,1.0,2.5,40.0,0.0,1.0,0.0,0.5,0.5,100.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.3,2.5
Jevon Carter,89.0,5.0,15.0,1.6,4.4,35.4,0.9,2.5,36.5,0.5,0.6,82.5,0.4,1.4,1.8,1.5,0.3,0.7,1.5,0.7,4.5
Mikal Bridges,147.0,80.0,28.5,3.1,6.6,46.6,1.1,3.2,34.1,1.3,1.5,82.5,0.8,2.8,3.6,2.0,0.5,1.5,2.3,0.9,8.5
Ricky Rubio,555.0,534.0,30.9,3.7,9.4,39.1,0.9,2.7,32.6,3.1,3.7,84.0,0.7,3.6,4.2,7.8,0.1,1.9,2.6,2.7,11.3
Tariq Owens,3.0,0.0,5.0,0.3,1.7,20.0,0.0,0.7,0.0,0.7,0.7,100.0,0.7,0.3,1.0,0.0,0.0,0.3,0.3,0.0,1.3
Ty Jerome,28.0,0.0,11.3,1.3,3.8,34.9,0.5,1.7,27.7,0.4,0.5,78.6,0.2,1.3,1.5,1.5,0.1,0.5,1.0,0.6,3.5
Alex Len,461.0,180.0,19.7,3.1,6.2,49.5,0.2,0.6,33.0,1.7,2.4,69.0,2.0,4.2,6.3,0.9,1.0,0.4,2.7,1.2,8.0
Bogdan Bogdanovic,201.0,89.0,28.0,4.9,11.3,43.2,2.0,5.4,37.0,1.5,1.9,80.3,0.4,2.7,3.2,3.5,0.2,1.0,2.1,1.6,13.3
Buddy Hield,308.0,194.0,27.8,5.9,13.4,44.2,2.7,6.7,41.1,1.4,1.6,86.9,0.8,3.4,4.2,2.2,0.3,0.8,2.0,1.7,15.9
Cory Joseph,592.0,117.0,21.8,2.7,6.1,44.1,0.5,1.4,33.1,1.0,1.3,76.6,0.5,2.1,2.6,2.9,0.2,0.8,1.5,1.0,6.9
DaQuan Jeffries,6.0,0.0,3.2,0.5,1.2,42.9,0.2,0.7,25.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.5,0.0,1.2
Harrison Barnes,604.0,543.0,31.2,5.1,11.3,44.7,1.2,3.3,37.5,2.3,2.9,79.6,1.0,3.9,4.9,1.6,0.2,0.7,1.7,1.2,13.7
Jabari Parker,280.0,190.0,29.3,6.1,12.3,49.2,0.7,2.2,32.4,2.2,2.9,73.9,1.5,4.2,5.8,2.1,0.4,0.9,2.1,1.8,15.0
Justin James,34.0,0.0,6.4,1.0,2.3,42.3,0.3,0.8,34.6,0.3,0.6,47.6,0.2,0.7,0.9,0.5,0.3,0.2,0.5,0.2,2.5
